"Date","Share Code","Year High (GHS)","Year Low (GHS)","Previous Closing Price VWAP (GHS)","Opening Price (GHS)","Closing Price VWAP (GHS)","Price Change (GHS)","Closing Bid Price (GHS)","Closing Offer Price (GHS)","Total Shares Traded","Total Value Traded","Last Transaction Price (GHS)"
"2007-11-16","GOIL","0.2153","0.2150","0.2000","0.2150","0.2153","0.0153","","","62800","","0"
"2007-11-19","GOIL","0.2153","0.2150","0.2153","0.2153","0.2153","0.0000","0.2154","0.0000","0","","0"
"2007-11-20","GOIL","0.2153","0.2150","0.2153","0.2153","0.2153","0.0000","0.2155","0.0000","0","","0"
"2007-11-21","GOIL","0.2260","0.2150","0.2153","0.2153","0.2260","0.0107","0.2260","0.0000","1090400","","0"
"2007-11-22","GOIL","0.2260","0.2150","0.2260","0.2260","0.2260","0.0000","0.2260","0.0000","0","","0"
"2007-11-23","GOIL","0.2300","0.2150","0.2260","0.2260","0.2300","0.0040","0.2300","0.0000","15000","","0"
"2007-11-26","GOIL","0.2401","0.2150","0.2300","0.2300","0.2401","0.0101","0.2351","0.0000","176100","","0"
"2007-11-27","GOIL","0.2500","0.2150","0.2401","0.2401","0.2500","0.0099","0.2402","0.0000","2129000","","0"
"2007-11-28","GOIL","0.2501","0.2150","0.2500","0.2500","0.2501","0.0001","0.2501","0.0000","4000","","0"
"2007-11-29","GOIL","0.2504","0.2150","0.2501","0.2501","0.2504","0.0003","0.2503","0.0000","7800","","0"
"2007-11-30","GOIL","0.2505","0.2150","0.2504","0.2504","0.2505","0.0001","0.2505","0.0000","42500","","0"
"2007-12-03","GOIL","0.2507","0.2150","0.2505","0.2505","0.2507","0.0002","0.2507","0.0000","4000","","0"
"2007-12-04","GOIL","0.2600","0.2150","0.2507","0.2507","0.2600","0.0093","0.2508","0.0000","12500","","0"
"2007-12-05","GOIL","0.2611","0.2150","0.2600","0.2600","0.2611","0.0011","0.2611","0.0000","77000","","0"
"2007-12-06","GOIL","0.2612","0.2150","0.2611","0.2611","0.2612","0.0001","0.2612","0.0000","5000","","0"
"2007-12-10","GOIL","0.2650","0.2150","0.2612","0.2612","0.2650","0.0038","0.2650","0.0000","21100","","0"
"2007-12-11","GOIL","0.2650","0.2150","0.2650","0.2650","0.2650","0.0000","0.2651","0.0000","0","","0"
"2007-12-12","GOIL","0.2660","0.2150","0.2650","0.2650","0.2660","0.0010","0.2650","0.0000","1200","","0"
"2007-12-13","GOIL","0.2660","0.2150","0.2660","0.2660","0.2660","0.0000","0.2660","0.0000","0","","0"
"2007-12-14","GOIL","0.2670","0.2150","0.2660","0.2660","0.2670","0.0010","0.2660","0.0000","42200","","0"
"2007-12-17","GOIL","0.2751","0.2150","0.2670","0.2670","0.2751","0.0081","0.2755","0.0000","185500","","0"
"2007-12-18","GOIL","0.2900","0.2150","0.2751","0.2751","0.2900","0.0149","0.2900","0.0000","98400","","0"
"2007-12-20","GOIL","0.3100","0.2150","0.2900","0.2900","0.3100","0.0200","0.3000","0.0000","367000","","0"
"2007-12-21","GOIL","0.3100","0.2150","0.3100","0.3100","0.3100","0.0000","0.0000","0.3100","40000","","0"
"2007-12-24","GOIL","0.3100","0.2150","0.3100","0.3100","0.3100","0.0000","0.0000","0.3090","64100","","0"
"2007-12-24","GOIL","0.3100","0.2150","0.3100","0.3100","0.3100","0.0000","0.0000","0.3090","64100","","0"
"2007-12-27","GOIL","0.3100","0.2150","0.3100","0.3100","0.3100","0.0000","0.0000","0.3095","2300","","0"
"2007-12-28","GOIL","0.3100","0.2150","0.3100","0.3100","0.3100","0.0000","0.0000","0.3095","0","","0"
"2007-12-31","GOIL","0.3100","0.2150","0.3100","0.3100","0.3100","0.0000","0.2900","0.3100","870300","","0"
"2008-01-02","GOIL","0.3100","0.2150","0.3100","0.3100","0.3100","0.0000","0.0000","0.3100","777000","","0"
"2008-01-03","GOIL","0.3100","0.3100","0.3100","0.3100","0.3100","0.0000","0.0000","0.3100","0","","0"
"2008-01-04","GOIL","0.3100","0.3100","0.3100","0.3100","0.3100","0.0000","0.3000","0.3100","320700","","0"
"2008-01-07","GOIL","0.3100","0.3100","0.3100","0.3100","0.3100","0.0000","0.0000","0.3100","3600","","0"
"2008-01-08","GOIL","0.3100","0.3100","0.3100","0.3100","0.3100","0.0000","0.0000","0.3100","45500","","0"
"2008-01-09","GOIL","0.3100","0.3000","0.3100","0.3100","0.3000","-0.0100","","","30200","","0"
"2008-01-10","GOIL","0.3100","0.3000","0.3000","0.3000","0.3000","0.0000","0.0000","0.3000","3700","","0"
"2008-01-11","GOIL","0.3100","0.3000","0.3000","0.3000","0.3000","0.0000","0.0000","0.2999","79700","","0"
"2008-01-14","GOIL","0.3100","0.3000","0.3000","0.3000","0.3100","0.0100","0.0000","0.3100","35200","","0"
"2008-01-15","GOIL","0.3100","0.3000","0.3100","0.3100","0.3100","0.0000","0.0000","0.3099","18600","","0"
"2008-01-16","GOIL","0.3100","0.3000","0.3100","0.3100","0.3100","0.0000","0.0000","0.3099","77500","","0"
"2008-01-17","GOIL","0.3100","0.3000","0.3100","0.3100","0.3100","0.0000","0.0000","0.3100","0","","0"
"2008-01-18","GOIL","0.3100","0.3000","0.3100","0.3100","0.3100","0.0000","0.0000","0.3099","12100","","0"
"2008-01-21","GOIL","0.3100","0.3000","0.3100","0.3100","0.3100","0.0000","0.0000","0.3099","7600","","0"
"2008-01-22","GOIL","0.3100","0.3000","0.3100","0.3100","0.3100","0.0000","0.0000","0.3099","22200","","0"
"2008-01-23","GOIL","0.3100","0.3000","0.3100","0.3100","0.3100","0.0000","0.0000","0.3099","11600","","0"
"2008-01-24","GOIL","0.3100","0.3000","0.3100","0.3100","0.3100","0.0000","0.0000","0.3100","41600","","0"
"2008-01-25","GOIL","0.3100","0.3000","0.3100","0.3100","0.3100","0.0000","0.0000","0.3098","600","","0"
